,Recency,Frequency,MonetaryValue
810,1.77905918375904,2.3131823950576207,4.217182765253142
811,0.0,2.2856589512468943,4.217182765253142
812,2.005546958261548,2.488990942187227,4.295508929392051
813,1.711397276264926,2.586568337832554,4.318166369543745
814,0.0,3.310284549312806,4.583215154338763
815,1.1186164189258903,2.4094841028073812,4.27027604118156
816,1.77905918375904,2.600888514293998,4.343243585180803
817,1.3620816971432665,2.3131823950576207,4.233497589151782
818,1.8824278614403378,2.470394350634195,4.282818810041554
819,1.25652123774629,2.3131823950576207,4.220574518726104
820,1.44663015206378,2.862764301155624,4.425245624624325
821,1.975516843881483,2.4094841028073812,4.2693414827319405
822,1.25652123774629,3.314329374545579,4.584275237081795
823,0.0,2.2856589512468943,4.219310560494829
824,0.0,3.221642312936687,4.553478692916156
825,0.0,3.1293883950423713,4.520218919627181
826,0.6213590741691385,2.470394350634195,4.286509473830162
827,0.0,3.088096558395993,4.506267912562638
828,1.5165584096261466,2.8772405040604787,4.423705689676245
829,0.0,3.0959801105528646,4.508360664468268
830,1.5757968029727956,2.9363142290742426,4.448317474256667
831,2.1680721696988865,2.4094841028073812,4.275471735944631
832,0.0,3.446082339531417,4.629802100810955
833,1.44663015206378,2.798748691136033,4.4002494370069245
834,0.0,3.0800305641824153,4.501912392008562
835,1.25652123774629,2.762352930533106,4.400511228792602
836,1.6269200135465338,2.7223169116333086,4.3758626171239
837,1.25652123774629,3.041250819782598,4.4863484991514575
838,1.8082732744937313,2.824002014181927,4.418175309293129
839,0.0,3.3375536520433244,4.596396792694202
840,1.941821840847215,2.5239947906451103,4.310414392781215
841,0.0,2.4509903939293936,4.284532853565457
842,1.44663015206378,3.350337253430191,4.599458905317506
843,0.6213590741691385,2.981971105982399,4.464676699980231
844,0.9255865762073103,2.5239947906451103,4.299693757025208
845,0.0,3.584998838747994,4.681628351212469
846,0.6213590741691385,3.224316229004014,4.552206762331312
847,0.0,3.2347980984421345,4.556791036159714
848,0.9255865762073103,2.363826404539971,4.247290340808156
849,0.6213590741691385,2.771768614156204,4.395722783636298
850,0.6213590741691385,3.359153063864474,4.599196025494753
851,1.5757968029727956,2.7527105261810676,4.389781981803302
852,2.1605578917634833,2.666016315519476,4.3574886270226525
853,0.0,3.3727490325364866,4.602845113693432
854,1.6716984796216534,2.363826404539971,4.2480041301911955
855,2.15279118281497,2.430712104285438,4.279040526402196
856,0.0,2.3391892008413087,4.249069046369234
857,1.44663015206378,2.3131823950576207,4.215461094214827
858,1.25652123774629,2.641161988802563,4.340104546144797
859,0.0,2.923964465345143,4.446834799085567
860,0.0,2.689468597538714,4.359937414061266
861,0.0,3.271334266639089,4.566792503616798
862,0.0,3.0998558176646887,4.509622298849859
863,0.0,3.479183167309638,4.643496759347465
864,0.0,2.8911883171787247,4.440830955908038
865,2.118872911094972,2.2856589512468943,4.227160270015036
866,0.0,3.0502436860725717,4.489068718480721
867,1.1186164189258903,3.3574101088091264,4.603327573515702
868,1.5165584096261466,2.732703839534701,4.384170236822951
869,0.0,3.4486682980001775,4.632163242409095
870,1.1186164189258903,3.1293883950423713,4.515308083838059
871,0.0,2.923964465345143,4.446274506534832
872,0.9255865762073103,2.2856589512468943,4.204748812382618
873,2.2579936045014133,2.571752980811826,4.332166675964064
874,0.0,3.0225545672726075,4.4815859015868496
875,2.0898781219062923,2.3131823950576207,4.238475329821123
876,1.25652123774629,2.981971105982399,4.468050205155103
877,0.0,3.1906975547167122,4.542067369913933
878,0.9255865762073103,2.488990942187227,4.2944450539843535
879,0.0,3.5540199693257644,4.672032411611113
880,0.0,3.435503159964065,4.629723121990909
881,0.9255865762073103,3.1994287858771844,4.547100755152983
882,0.0,3.4473781883162418,4.636063085302292
883,0.9255865762073103,2.689468597538714,4.3573121443053955
884,0.6213590741691385,3.0800305641824153,4.505974427243538
885,0.6213590741691385,3.408738064187676,4.618758089954352
