,Recency,Frequency,MonetaryValue
731,1.51655840962615,2.28565895124689,4.22141193859676
732,1.44663015206378,3.09985581766469,4.51064501055832
733,0,2.87724050406048,4.43092263860174
734,0,2.7899577247545,4.39490865363277
735,0,2.38722115480205,4.25902177969117
736,1.77905918375904,2.55640998033665,4.31793710693302
737,0,3.22959928921376,4.55755681804344
738,1.80827327449373,2.58656833783255,4.33048549866091
739,1.71139727626493,2.28565895124689,4.21107905793868
740,1.36208169714327,3.08809655839599,4.50455592233043
741,1.36208169714327,2.43071210428544,4.26554819245095
742,2.09992885326607,2.58656833783255,4.33689842596341
743,1.90359576053045,2.45099039392939,4.28706972819932
744,0,2.84772164916465,4.41035685433612
745,0,2.8979749703532,4.44257404913836
746,0,3.47802269811784,4.64342763134499
747,0,3.10368867470643,4.51443346389277
748,0,3.4916465127815,4.6468109397823
749,1.25652123774629,2.55640998033665,4.31304192320192
750,0,3.27816758894807,4.57582429049824
751,0,2.93631422907424,4.45293584162279
752,0,2.82400201418193,4.41479427405758
753,1.94182184084722,2.57175298081183,4.32728215622473
754,0,2.62815934230868,4.3379077038205
755,0.92558657620731,3.10747954566541,4.51465270631451
756,0,3.27362835025329,4.57053296622252
757,0,3.54408911402697,4.66686674346816
758,0,2.54050367745381,4.30199947905376
759,1.77905918375904,2.66601631551948,4.36404256942282
760,1.77905918375904,2.89118831717872,4.43616980255584
761,1.11861641892589,2.31318239505762,4.23465956392484
762,0,3.17561587661993,4.53644440973226
763,1.62692001354653,3.10747954566541,4.51205146761385
764,2.12781664272981,2.36382640453997,4.25531749682108
765,1.51655840962615,3.29356282025781,4.57906075486521
766,1.11861641892589,2.6147431430363,4.33174812845215
767,0,2.87724050406048,4.43876827199275
768,1.77905918375904,2.48899094218723,4.30020908691073
769,1.77905918375904,2.87724050406048,4.43321114430198
770,0,2.91763337719076,4.44831747425667
771,0,2.55640998033665,4.31998824192245
772,0.92558657620731,3.2619896959021,4.57212302952593
773,1.25652123774629,3.38416522643073,4.61203602422859
774,0,2.4703943506342,4.28873870005289
775,1.11861641892589,3.09206066323873,4.50591564647499
776,2.00554695826155,2.600888514294,4.33608610299709
777,0.92558657620731,2.8842782272961,4.43787447095085
778,1.51655840962615,2.6147431430363,4.32878546407287
779,1.94182184084722,2.80734810251576,4.39972438521669
780,1.94182184084722,2.67790852930703,4.35959007457339
781,0,3.39670367977304,4.61487168600194
782,0.621359074169139,2.5068399164938,4.29943545414416
783,1.44663015206378,2.64116198880256,4.33990615601631
784,1.71139727626493,2.45099039392939,4.27486912904702
785,0.621359074169139,3.13639081526248,4.52301153227984
786,1.83502093136114,2.82400201418193,4.41096487362536
787,0,3.42171900924212,4.62622823350613
788,0.92558657620731,2.55640998033665,4.32044034706386
789,0,3.39516472263875,4.61352090720453
790,1.36208169714327,2.40948410280738,4.26996512327412
791,0,2.7327038395347,4.37878712332779
792,0,2.80734810251576,4.40962369934342
793,0,2.64116198880256,4.34517255397033
794,1.11861641892589,3.25721324567402,4.56190071157129
795,0,3.54500686808835,4.6685475221279
